"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 25 13:00:42 PKT 2022","Mon Jul 25 13:00:44 PKT 2022","1626","","Product Selection: User will Shop for moisturizers if the weather is below 19 degrees while Shops for suncreens if the weather is above 34 degrees.","","Product Selection: User will Shop for moisturizers if the weather is below 19 degrees while Shops for suncreens if the weather is above 34 degrees.","When the user clicks on respective product buttons","When the user clicks on respective product buttons",""
"passed","Mon Jul 25 13:00:24 PKT 2022","Mon Jul 25 13:00:28 PKT 2022","3912","","Checkout: User wants to perform checkout","","Checkout: User wants to perform checkout","Given there are items in the cart","Given there are items in the cart",""
"passed","Mon Jul 25 13:00:44 PKT 2022","Mon Jul 25 13:00:44 PKT 2022","121","","Product Selection: User will Shop for moisturizers if the weather is below 19 degrees while Shops for suncreens if the weather is above 34 degrees.","","Product Selection: User will Shop for moisturizers if the weather is below 19 degrees while Shops for suncreens if the weather is above 34 degrees.","Then the title of the page should be according to the product","Then the title of the page should be according to the product",""
"passed","Mon Jul 25 13:00:40 PKT 2022","Mon Jul 25 13:00:42 PKT 2022","1794","","Product Selection: User will Shop for moisturizers if the weather is below 19 degrees while Shops for suncreens if the weather is above 34 degrees.","","Product Selection: User will Shop for moisturizers if the weather is below 19 degrees while Shops for suncreens if the weather is above 34 degrees.","Given A web browser is at the home page","Given A web browser is at the home page",""
"passed","Mon Jul 25 13:00:55 PKT 2022","Mon Jul 25 13:00:55 PKT 2022","164","","Adding suncreens to the cart: Add two Sunscreens to the cart that meet specific criteria","","Adding suncreens to the cart: Add two Sunscreens to the cart that meet specific criteria","Then the sunscreens are added into the cart and value of cart should be incremented","Then the sunscreens are added into the cart and value of cart should be incremented",""
"passed","Mon Jul 25 13:00:38 PKT 2022","Mon Jul 25 13:00:38 PKT 2022","1","","Checkout: User wants to perform checkout","","Checkout: User wants to perform checkout","","",""
"passed","Mon Jul 25 13:00:28 PKT 2022","Mon Jul 25 13:00:38 PKT 2022","10056","","Checkout: User wants to perform checkout","","Checkout: User wants to perform checkout","When the user enter payment details and makes payment","When the user enter payment details and makes payment",""
"passed","Mon Jul 25 13:00:55 PKT 2022","Mon Jul 25 13:00:55 PKT 2022","1","","Adding suncreens to the cart: Add two Sunscreens to the cart that meet specific criteria","","Adding suncreens to the cart: Add two Sunscreens to the cart that meet specific criteria","","",""
"passed","Mon Jul 25 13:00:46 PKT 2022","Mon Jul 25 13:00:48 PKT 2022","1649","","Adding suncreens to the cart: Add two Sunscreens to the cart that meet specific criteria","","Adding suncreens to the cart: Add two Sunscreens to the cart that meet specific criteria","Given the user is at the ""Home"" page of app","Given the user is at the ""Home"" page of app",""
"passed","Mon Jul 25 13:00:44 PKT 2022","Mon Jul 25 13:00:44 PKT 2022","1","","Product Selection: User will Shop for moisturizers if the weather is below 19 degrees while Shops for suncreens if the weather is above 34 degrees.","","Product Selection: User will Shop for moisturizers if the weather is below 19 degrees while Shops for suncreens if the weather is above 34 degrees.","","",""
"passed","Mon Jul 25 13:00:38 PKT 2022","Mon Jul 25 13:00:38 PKT 2022","88","","Checkout: User wants to perform checkout","","Checkout: User wants to perform checkout","Then the payment success screen will be given to user","Then the payment success screen will be given to user",""
"passed","Mon Jul 25 13:00:48 PKT 2022","Mon Jul 25 13:00:55 PKT 2022","7128","","Adding suncreens to the cart: Add two Sunscreens to the cart that meet specific criteria","","Adding suncreens to the cart: Add two Sunscreens to the cart that meet specific criteria","When the Products are least expensive and meet specific criteria, add them into the cart","When the Products are least expensive and meet specific criteria, add them into the cart",""
