"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 20 09:12:46 PKT 2022","Wed Jul 20 09:12:46 PKT 2022","36","","Product Selection: User will Shop for moisturizers if the weather is below 19 degrees while Shops for suncreens if the weather is above 34 degrees.","","Product Selection: User will Shop for moisturizers if the weather is below 19 degrees while Shops for suncreens if the weather is above 34 degrees.","When the user clicks on the ""Buy sunscreens"" menu option in the menu","When the user clicks on the ""Buy sunscreens"" menu option in the menu",""
"passed","Sat Jul 23 17:57:18 PKT 2022","Sat Jul 23 17:57:18 PKT 2022","1","","Adding two moisturisers to the cart: Add two moisturizers to the cart that meet specific criteria","","Adding two moisturisers to the cart: Add two moisturizers to the cart that meet specific criteria","","",""
"passed","Fri Jul 22 13:36:44 PKT 2022","Fri Jul 22 13:36:46 PKT 2022","2021","","Adding two moisturisers to the cart: Add two moisturizers to the cart that meet specific criteria","","Adding two moisturisers to the cart: Add two moisturizers to the cart that meet specific criteria","Given the browser is at the ""Moisturizers"" page","Given the browser is at the ""Moisturizers"" page",""
"passed","Wed Jul 20 10:38:53 PKT 2022","Wed Jul 20 10:38:53 PKT 2022","20","","Adding moisturisers to the cart: Add two moisturizers to the cart that meet specific criteria","","Adding moisturisers to the cart: Add two moisturizers to the cart that meet specific criteria","When the moisturizer is least expensive and contains ""Almond"" in the name","When the moisturizer is least expensive and contains ""Almond"" in the name",""
"broken","Tue Jul 19 14:17:38 PKT 2022","Tue Jul 19 14:17:38 PKT 2022","0","","Product Selection: User will Shop for moisturizers if the weather is below 19 degrees while Shops for suncreens if the weather is above 34 degrees.","","Product Selection: User will Shop for moisturizers if the weather is below 19 degrees while Shops for suncreens if the weather is above 34 degrees.","When the user clicks on Buy sunscreens","When the user clicks on Buy sunscreens",""
"broken","Tue Jul 19 10:29:27 PKT 2022","Tue Jul 19 10:29:27 PKT 2022","1","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","When I login with foobar and barfoo","When I login with foobar and barfoo",""
"skipped","Sat Jul 23 19:08:33 PKT 2022","Sat Jul 23 19:08:33 PKT 2022","1","","Adding suncreens to the cart: Add products to the cart that meet specific criteria","","Adding suncreens to the cart: Add products to the cart that meet specific criteria","Then the products are added into the cart and value of cart should be incremented","Then the products are added into the cart and value of cart should be incremented",""
"passed","Thu Jul 21 10:41:46 PKT 2022","Thu Jul 21 10:41:46 PKT 2022","72","","Adding moisturisers to the cart: Add two moisturizers to the cart that meet specific criteria","","Adding moisturisers to the cart: Add two moisturizers to the cart that meet specific criteria","Then the value of cart should be incremented","Then the value of cart should be incremented",""
"passed","Sat Jul 23 19:11:02 PKT 2022","Sat Jul 23 19:11:05 PKT 2022","3177","","Adding suncreens to the cart: Add two Sunscreens to the cart that meet specific criteria","","Adding suncreens to the cart: Add two Sunscreens to the cart that meet specific criteria","Given the browser is at the ""Sunscreens"" page","Given the browser is at the ""Sunscreens"" page",""
"broken","Tue Jul 19 15:18:05 PKT 2022","Tue Jul 19 15:18:05 PKT 2022","1","","Product Selection: User will Shop for moisturizers if the weather is below 19 degrees while Shops for suncreens if the weather is above 34 degrees.","","Product Selection: User will Shop for moisturizers if the weather is below 19 degrees while Shops for suncreens if the weather is above 34 degrees.","When the user clicks on Buy sunscreens button","When the user clicks on Buy sunscreens button",""
"skipped","Sat Jul 23 19:08:33 PKT 2022","Sat Jul 23 19:08:33 PKT 2022","15","","Adding suncreens to the cart: Add products to the cart that meet specific criteria","","Adding suncreens to the cart: Add products to the cart that meet specific criteria","Given the browser is at the ""Home"" page of app","Given the browser is at the ""Home"" page of app",""
"broken","Tue Jul 19 14:17:33 PKT 2022","Tue Jul 19 14:17:33 PKT 2022","0","","Product Selection: User will Shop for moisturizers if the weather is below 19 degrees while Shops for suncreens if the weather is above 34 degrees.","","Product Selection: User will Shop for moisturizers if the weather is below 19 degrees while Shops for suncreens if the weather is above 34 degrees.","Given I am on the login page","Given I am on the login page",""
"broken","Mon Jul 18 18:55:03 PKT 2022","Mon Jul 18 18:55:03 PKT 2022","0","","Product Selection: User will Shop for moisturizers if the weather is below 19 degrees while Shops for suncreens if the weather is above 34 degrees.","","Product Selection: User will Shop for moisturizers if the weather is below 19 degrees while Shops for suncreens if the weather is above 34 degrees.","When the user clicks on ""Buy moisturizers""","When the user clicks on ""Buy moisturizers""",""
"passed","Thu Jul 21 13:04:46 PKT 2022","Thu Jul 21 13:04:46 PKT 2022","1","","Adding Almond moisturisers to the cart: Add an Almond moisturizer to the cart that meet specific criteria","","Adding Almond moisturisers to the cart: Add an Almond moisturizer to the cart that meet specific criteria","","",""
"broken","Tue Jul 19 11:03:35 PKT 2022","Tue Jul 19 11:03:35 PKT 2022","0","","Product Selection: User will Shop for moisturizers if the weather is below 19 degrees while Shops for suncreens if the weather is above 34 degrees.","","Product Selection: User will Shop for moisturizers if the weather is below 19 degrees while Shops for suncreens if the weather is above 34 degrees.","Given the browser is at the home page","Given the browser is at the home page",""
"passed","Sat Jul 23 17:57:06 PKT 2022","Sat Jul 23 17:57:18 PKT 2022","11811","","Adding two moisturisers to the cart: Add two moisturizers to the cart that meet specific criteria","","Adding two moisturisers to the cart: Add two moisturizers to the cart that meet specific criteria","When the moisturizers are least expensive and contains either Aloe or Almond in the name, user adds them into the cart","When the moisturizers are least expensive and contains either Aloe or Almond in the name, user adds them into the cart",""
"broken","Sat Jul 23 19:12:29 PKT 2022","Sat Jul 23 19:12:29 PKT 2022","1","","Adding suncreens to the cart: Add two Sunscreens to the cart that meet specific criteria","","Adding suncreens to the cart: Add two Sunscreens to the cart that meet specific criteria","Given the browser is at the app's ""Home"" page","Given the browser is at the app's ""Home"" page",""
"passed","Thu Jul 21 11:09:22 PKT 2022","Thu Jul 21 11:09:22 PKT 2022","87","","Adding Almond moisturisers to the cart: Add an Almond moisturizer to the cart that meet specific criteria","","Adding Almond moisturisers to the cart: Add an Almond moisturizer to the cart that meet specific criteria","When the moisturizer contains ""Almond"" in the name, user adds it in the cart","When the moisturizer contains ""Almond"" in the name, user adds it in the cart",""
"passed","Thu Jul 21 11:03:13 PKT 2022","Thu Jul 21 11:03:15 PKT 2022","2324","","Adding Almond moisturisers to the cart: Add an Almond moisturizer to the cart that meet specific criteria","","Adding Almond moisturisers to the cart: Add an Almond moisturizer to the cart that meet specific criteria","Given the userrrrr is at the ""Moisturizers"" page","Given the userrrrr is at the ""Moisturizers"" page",""
"broken","Tue Jul 19 15:18:05 PKT 2022","Tue Jul 19 15:18:05 PKT 2022","2","","Product Selection: User will Shop for moisturizers if the weather is below 19 degrees while Shops for suncreens if the weather is above 34 degrees.","","Product Selection: User will Shop for moisturizers if the weather is below 19 degrees while Shops for suncreens if the weather is above 34 degrees.","When the user clicks on Buy moisturizers button","When the user clicks on Buy moisturizers button",""
"passed","Thu Jul 21 10:41:44 PKT 2022","Thu Jul 21 10:41:46 PKT 2022","2033","","Adding moisturisers to the cart: Add two moisturizers to the cart that meet specific criteria","","Adding moisturisers to the cart: Add two moisturizers to the cart that meet specific criteria","Given the browser is at the ""Moisturizers"" page","Given the browser is at the ""Moisturizers"" page",""
"broken","Tue Jul 19 10:29:27 PKT 2022","Tue Jul 19 10:29:27 PKT 2022","1","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","Then I should see a flash message saying You logged into a secure area!","Then I should see a flash message saying You logged into a secure area!",""
"passed","Thu Jul 21 13:04:46 PKT 2022","Thu Jul 21 13:04:46 PKT 2022","75","","Adding Almond moisturisers to the cart: Add an Almond moisturizer to the cart that meet specific criteria","","Adding Almond moisturisers to the cart: Add an Almond moisturizer to the cart that meet specific criteria","When the moisturizer contains ""Almond"" in the name and is least priced, user adds it into the cart","When the moisturizer contains ""Almond"" in the name and is least priced, user adds it into the cart",""
"skipped","Sat Jul 23 19:08:33 PKT 2022","Sat Jul 23 19:08:33 PKT 2022","0","","Adding suncreens to the cart: Add products to the cart that meet specific criteria","","Adding suncreens to the cart: Add products to the cart that meet specific criteria","When the products are least expensive and meet specific criteria, add them into the cart","When the products are least expensive and meet specific criteria, add them into the cart",""
"broken","Wed Jul 20 10:09:09 PKT 2022","Wed Jul 20 10:09:09 PKT 2022","22","","Adding moisturisers to the cart: Add two moisturizers to the cart that meet specific criteria","","Adding moisturisers to the cart: Add two moisturizers to the cart that meet specific criteria","When user iterates over all elements on the page and select the moisturizer that is least expensive and contains ""Almond"" in the name","When user iterates over all elements on the page and select the moisturizer that is least expensive and contains ""Almond"" in the name",""
"passed","Wed Jul 20 10:33:49 PKT 2022","Wed Jul 20 10:33:49 PKT 2022","28","","Adding moisturisers to the cart: Add two moisturizers to the cart that meet specific criteria","","Adding moisturisers to the cart: Add two moisturizers to the cart that meet specific criteria","When user runs loop over all elements on the page and select the moisturizer that is least expensive and contains ""Aloe"" in the name","When user runs loop over all elements on the page and select the moisturizer that is least expensive and contains ""Aloe"" in the name",""
"broken","Mon Jul 18 18:55:03 PKT 2022","Mon Jul 18 18:55:03 PKT 2022","0","","Product Selection: User will Shop for moisturizers if the weather is below 19 degrees while Shops for suncreens if the weather is above 34 degrees.","","Product Selection: User will Shop for moisturizers if the weather is below 19 degrees while Shops for suncreens if the weather is above 34 degrees.","And the value of temperature is ""greater than 34 degrees""","And the value of temperature is ""greater than 34 degrees""",""
"passed","Tue Jul 19 15:21:55 PKT 2022","Tue Jul 19 15:21:55 PKT 2022","1","","Product Selection: User will Shop for moisturizers if the weather is below 19 degrees while Shops for suncreens if the weather is above 34 degrees.","","Product Selection: User will Shop for moisturizers if the weather is below 19 degrees while Shops for suncreens if the weather is above 34 degrees.","When The user enters ""cucumber"" into the search bar","When The user enters ""cucumber"" into the search bar",""
"broken","Wed Jul 20 09:12:46 PKT 2022","Wed Jul 20 09:12:46 PKT 2022","0","","Product Selection: User will Shop for moisturizers if the weather is below 19 degrees while Shops for suncreens if the weather is above 34 degrees.","","Product Selection: User will Shop for moisturizers if the weather is below 19 degrees while Shops for suncreens if the weather is above 34 degrees.","Then the title of the page should be Sunscreens","Then the title of the page should be Sunscreens",""
